CD_CIRURGIA,DS_CIRURGIA,Codigo Tabela AMB,SN_ATIVO
498,HIPOFISECTOMIA QUIMICA,31401074,S
3217,IMPLANTACAO DE HALO PARA RADIOCIRURGIA,31401350,S
2212,RESSECCAO CISTO HEPATICO COM HEPATECT,31005357,S
3181,EXPLORACAO DE VIAS BILIARES,31005420,S
911,TRATAMENTO CIRUR ESTENOSE CICATRICIAL,31005420,S
2213,ENUCLEACAO DE TUMORES PANCREATICOS,31006035,S
2198,HIPOGLICEMIA PED - TRAT CIRURGICO,31006043,S
2196,ABSCESSO PERINEAL - TRAT CIRURGICO,31009018,S
1961,HERNIORRAFIA INCISIONAL,31009107,S
1397,ONFALOCELE/GASTROSQUISE 1 TEMPO/PROTESE - TRAT CIRURGICO,31009220,S
338,RESSUTURA DA PAREDE ABDOMINAL - POR DEISCENCIA,31009298,S
1568,SUPRARRENALECTOMIA TOTAL,31101038,N
1567,SUPRARRENALECTOMIA TOTAL,31101038,S
1747,ADRENALECTOMIA,31101038,S
907,SUPRA-RENALECTOMIA UNILATERAL,31101038,S
1292,BIOPSIA RENAL CIRURGICA,31101070,S
1746,ENDOPIELOTOTOMIA PERCUTANEA,31101097,S
1473,NEFRO OU PIELOENTEROCISTOSTOMIA,31101208,S
809,NEFROLITOTOMIA ANATROFICA EXTRACORPOREA,31101216,S
1063,NEFROLITOTOMIA ANATROFICA ALARGADA,31101216,S
3151,PIELOPLASTIA POR VIDEOLAPAROSCOPIA,31101526,S
1545,PIELOSTOMIA,31101372,S
1265,IMPLANTE PROTESE URETERAL - CISTOSCOPICA,31102050,S
2246,COLOCACAO ENDOSCOPICA DE DUPLO J,31102050,S
3157,REIMPLANTE URETERAL EM ONCOLOGIA - URETEROENTEROSTOMIA,31102468,S
2066,URETEROURETEROSCISTONEOSTOMIA,31102468,S
1084,URETEROENTEROCISTOSTOMIA UNILATERAL,31102468,S
2295,BIOPSIA ENDOSCOPICA BEXIGA,31103030,S
2133,CISTOLITOTRIPSIA EXT P/ ONDA CHOQUE - INICIAL,31103103,S
1956,CISTOLITOTRIPSIA EXTRACORPOREA C/SESSAO,31103103,S
1848,CISTOLITOTRIPSIA EXTRACORPOREA OPERADOR,31103103,S
2140,EXTROFIA EM CLOACA-CIRURGICO ,31103260,S
2110,FISTULA VESICOENTERICA - TRAT CIRURGICO,31103294,S
2282,FISTULA VESICO VAGINAL - TRAT CIRURGICO,31103324,S
3212,TRATAMENTO CIRURGICO DE CISTOCELE,31103332,S
1906,INCONTENENCIA URINARIA COM RETOCISTOCELE,31103332,S
2353,ASPIRACAO VESICAL,31103405,S
914,CISTOS PANCREATICOS - TRAT CIRURGICO,40813479,S
2561,DRENAGEM PERCUTANEA DE VIA BILIAR,40813487,S
2580,EMBOLIZACAO ARTERIAL PARA TRATAMENTO DE PRIAPISMO,40813665,S
2563,EMBOLIZACAO DE ANEURISMA CEREBRAL POR OCLUSAO SACULAR POR VASO,40813541,S
2564,EMBOLIZACAO DE ANEURISMA CEREBRAL POR OCLUSAO VASCULAR POR VASO,40813550,S
2565,EMBOLIZACAO DE ANEURISMA OU PSEUDOANEURISMA VISCERAL,40813592,S
2566,EMBOLIZACAO DE ARTERIA RENAL PARA NEFRECTOMIA,40813703,S
2567,EMBOLIZACAO DE ARTERIA UTERINA PARA TRATAMENTO DE MIOMA OU OUTRAS SITUACOES,40813746,S
2568,EMBOLIZACAO DE FISTULA ARTERIOVENOSA EM CABECA PESCOCO OU COLUNA POR VASO,40813576,S
2572,EMBOLIZACAO DE FISTULA ARTERIOVENOSA NAO ESPECIFICADA ACIMA POR VASO,40813711,S
270,FISTULA OU MA FORMACAO ARTERIO VENOSA CO,40813711,S
2569,EMBOLIZACAO DE HEMORRAGIA DIGESTIVA,40813630,S
2571,EMBOLIZACAO DE MALFORMACAO ARTERIOVENOSA CEREBRAL OU MEDULAR POR VASO,40813568,S
2574,EMBOLIZACAO DE MALFORMACAO VASCULAR POR VASO,40813720,S
494,EMBOLIZACAO AFERENTE MALFORMACAO VASCULAR,40813720,S
2576,EMBOLIZACAO DE PSEUDOANEURISMA POR VASO,40813738,S
2570,EMBOLIZACAO DE RAMO PORTAL,40813649,S
2575,EMBOLIZACAO DE RAMOS HIPOGASTRICOS PARA TRATAMENTO DE SANGRAMENTO GINECOLOGICO,40813681,S
2981,EMBOLIZACAO DE TUMOR INTRA-CRANIANO OU DA CABECA E PESCOCO,40813789,S
2577,EMBOLIZACAO DE TUMOR DE CABECA E PESCOCO,40813789,S
2578,EMBOLIZACAO DE TUMOR DO APARELHO DIGESTIVO,40813797,S
2579,EMBOLIZACAO DE TUMOR NAO ESPECIFICADO,40813819,S
2573,EMBOLIZACAO DE TUMOR OSSEO OU DE PARTES MOLES,40813800,S
1797,RESSECCAO TUMOR PARTES MOLES OU TUMOR OSSEO - REGIAO TORAXICA,40813800,S
1732,EMBOLIZACAO DE TUMORES OSSEOS,40813800,S
2242,"RESSECCAO TUMOR PARTES MOLES, BAIX FACIA",40813800,N
2581,EMBOLIZACAO DE VARIZES ESOFAGIANAS OU GASTRICAS,40813622,S
2582,EMBOLIZACAO DE VEIA ESPERMATICA PARA TRATAMENTO DE VARICOCELE,40813754,S
2583,EMBOLIZACAO ESPLENICA PARA TRATAMENTO DE HIPERESPLENISMO OU OUTRA SITUACAO,40813657,S
2584,EMBOLIZACAO PARA TRATAMENTO DE EPISTAXE,40813584,S
2585,EMBOLIZACAO PULMONAR PARA TRATAMENTO DE FISTULA ARTERIOVENOSA OU OUTRA SITUACAO,40813614,S
2589,EMBOLIZACAO SELETIVA DE FISTULA OU ANEURISMA RENAL PARA TRATAMENTO DE HEMATURIA,40813690,S
2559,IMPLANTE DE ENDOPROTESE EM ANEURISMA DE AORTA ABDOMINAL OU TORACICA COM STENT REVESTIDO STENT GRAFT,40813940,S
2560,IMPLANTE DE ENDOPROTESE EM DISSECCAO DE AORTA ABDOMINAL OU TORACICA COM STENT REVESTIDO STENT GRAFT,40813959,S
2988,IMPLANTE DE ELETRODO PARA ESTIMULACAO CEREBRAL,31401090,S
631,IMPLANTE DE ELETRODO CEREBRAL PROFUNDO,31401090,S
1842,IMPLANTE DE ELETRODO ESTIMULACAO CEREBRAL,31401104,S
464,IMPLANTE DE ELETRODO EPIDURAL CADA FASE,31401104,S
2048,IMPLANTE ESTERIOTAXICA CATETER BRANQUITE,31401112,S
2990,IMPLANTE INTRATECAL DE BOMBA DE INFUSAO DE FARMACOS,31401120,S
1816,IMPLANTE INTRATECAL BOMBAS P INFUSAO DE FARMACOS,31401120,S
1661,LOCALIZACAO ESTEREOTAXICA CORPO ESTRANHO,31401139,S
1648,LOCALIZACAO ESTEREOTAXICA LESOES INTRACR,31401147,S
3018,MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR),31401155,S
2393,MICRO CIRURGIA PARA TUMORES INTRACRANIANAS,31401155,S
2392,MICRO CIRURGIA DE TUMOR CEREBRAL,31401155,S
2005,TUMORES CEREBRAIS - MICROCIRURGIA,31401155,S
1163,TUMOR CEREBRAL FOSSE POST CRANIOTOMIA,31401155,S
1229,HIPOFISECTOMIA SELETIVA C/ AUX MIC CIRU,31401163,S
3006,"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL POSTERIOR (MAIOR QUE 1,5CM)",31401171,S
3005,"MICROCIRUGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR (MENOR QUE 1,5 CM)",31401171,S
3004,"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM",31401171,S
280,MALFORMACAO VASCULAR INTERCRAN CRANIOTOM,31401171,S
278,MICROCIRURGIA VASCULAR - INTRACRANIANA,31401171,S
1996,MUCOCELE FRONTAL - RESSECCAO,31401201,S
2804,REVISAO DO SISTEMA DE NEUROESTIMULACAO,31401228,S
3035,REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO/ATRIO/PLEURA/RAQUE,31401236,S
3033,RETIRADA DE DERIVCAO VENTRICULAR PARA PERITONEO /ATRIO/PLEURA/RAQUE,31401236,S
2230,VENTRICULOPERITONIOSTOMIA C/ INTERPOSICAO,31401236,S
364,DERIVACAO VENTRICULO ATRIAL C/SISTEMA DE VALVULA,31401236,S
1161,TERCEIRO VENTRICULOSTOMIA,31401244,S
2312,TRATAMENTO CIRUR DE EPILEPSIA,31401252,S
493,EPILEPSIA - TRAT CIRURGICO C/ELETROCORTICO,31401252,S
495,FISTULA LIQUORICA: TRATAMENTO CIRURGICO,31401260,S
279,MENINGOENCEFALOCELE - TRAT CIRURGICO,31401279,S
1624,CRANIECTOMIA PARA TUMORES CEREBRAIS,31401287,S
432,ABSCESSO CEREBRAL - CRANIOTOMIA P/TRAT CIRURGICO,31401295,S
3056,TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO,31401309,S
1227,HEMATOMA SUBDURAL CRONICO - TRAT CIRURGICO,31401309,S
500,HEMATOMA INTRACEREBRAL - TRAT CIRURGICO,31401309,S
499,HEMATOMA EXTRADURAL SUBDURAL AGUDO - TRAT CIRURGICO,31401309,S
435,CORDOTOMIA / MIELOTOMIA P/RADIOFREQUENCIA,31402011,S
1836,CORDOTOMIA-MIELOTOMIAS P RADIOFREQUENCIA,31402011,N
1841,LESAO SUBST GELATINOSA MEDUL P/RADIOF,31402020,S
1933,BIOPSIA NERVOS,31403018,S
1104,BIOPSIA NERVOS,31403018,S
1244,DENERVACAO PERCUTANEA FACETAS ARTICULARE,31403034,S
2982,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (UNICO NERVO),31403042,S
2002,ENXERTO PARA REPARO DE 1 NERVO,31403042,S
1419,"ENXERTO NERVO INTERFASCICULAR, PEDIC(1 ESTAGIO)",31403050,S
1431,"ENXERTO NERVO INTERFASCICULAR,PEDICULADO (2 ESTAGIOS)",31403069,S
1339,ENXERTO INTERFASCICULAR P/ REPARO 2 NERVOS,31403085,S
1225,ENXERTO INTERFASCICULAR P/ REPARO  DE 1 NERVO,31403085,S
1126,ENXERTO INTER-FASCICULAR NERVO VASCULARIZADO,31403077,S
646,MICROCIRURGIA ENXERTO INTERFASCULAR NERV,31403077,S
1929,ENXERTO PARA REPARDO DE 2 OU MAIS NERVOS,31403093,S
1125,ENXERTO PARA REPARO DE 2 OU MAIS NERVOS,31403093,S
1245,ENXERTO PARA REPARO DOIS OU MAIS NERVOS,31403093,N
1434,EXCISAO TUMOR NERVO PERIFERICO C/ENXERTO,31403107,S
1124,EXCISAO TUMORES NERVOS PERIFERICOS,31403115,S
1433,EXCISAO TUMORES DE NERVOS PERIFERICOS,31403115,N
1122,EXPLORACAO CIRURGICA DE NERVO - NEUROLISE,31403123,S
2989,IMPLANTE DE GERADOR DE PULSOS P/ESTIMULACAO CEREBRAL (INCLUI CONECTOR),31403140,S
1918,LESAO DE NERVOS ASSOCIADAS A LESAO OSSEA,31403158,S
2311,LESAO ESTERIOTAXICA ESTRUTURAS PROFUNDUNDAS,31403166,S
890,MICROCIRURGIA PLEXO BRAQUIAL C/ ENXE P/R,31403174,N
647,MICROCIRURGIA PLEXO BRAQUIAL ENXERTO REP,31403174,N
443,"MICROCIRURGIA PLEXO BRAQUIAL C/ EXPLORACAO, NEUROLISE",31403174,S
2997,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA,31403182,S
1910,MICROCIRURGIA PLEXO BRAQUIAL C/EXPL NEUR,31403182,N
889,MICROCIRURGIA PLEXO BRAQUIAL C/ EXPLORACAO E NEUROLISE,31403182,S
645,MICROCIRURGIA DE NERVOS PERIFERICOS,31403182,S
547,MICRONEUROLISE INTRANEURAL/INTRAFASCICUL,31403212,S
2044,MICRONEUROLISE INTRANEURAL/INTRAFASCULAR,31403204,S
445,MICRONEUROLISE DE DOIS OU MAIS NERVOS,31403220,S
491,MICRO NEUROLISE MULTIPLAS,31403220,S
3024,NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS,31403239,S
444,MICRONEUROLISE UNICA,31403239,S
490,MICRO NEUROLISE UNICA,31403239,S
550,MICRONEURROFIA DEDOS DAS MAOS,31403255,S
888,MICRO-NEURORRAFIA DE DEDOS DA MAO,31403255,N
3022,MICRONEURORRAFIA,31403263,S
887,MICRO-NEURORRAFIA MULTIPLA,31403263,N
698,NEURORRAFIA MULTIPLA,31403263,S
549,MICRONEURORRAFIA MULTIPLA,31403263,S
3025,NEURORRAFIA,31403271,S
697,NEURORRAFIA UNICA,31403271,S
548,MICRONEURROFIA UNICA,31403271,S
431,MICRO NEURORRAFIA UNICA,31403271,S
3021,MICRONEUROLISE DE NERVO PERIFERICO,31403280,S
1127,NEUROLISE DAS SINDROMES COMPRESSIVAS,31403280,S
702,NEUROLISE DE NERVO MULTIPLO,31403280,N
700,NEUROLISE DE NERVO ISOLADO,31403280,N
699,NERVOS - EXPLORACAO CIRURGICA,31403280,S
330,NEUROTRIPSIA - CADA EXTREMIDADE,31403298,S
2352,PUNCAO LOMBAR C/ MANOMETRIA INC/FINAL,40309169,S
684,CORPO ESTRANHO NARIZ - RETIRARA EM HOSP C/ANESTESIA,30501091,S
3080,EPISTAXE - TAMPONAMENTO ANTERIOR,30501164,S
1036,RECONST NARIZ PARCIAL,30501296,S
511,SINUSOTOMIA FRONTAL-TREPANACAO EXTERNA,30502276,S
2776,TORACECTOMIA COMPLEXA EM ONCOLOGIA,30601150,S
2034,TORACECTOMIA/ RECONSTRUCAO (C/S/PROTESE),30601150,S
1796,TRACAO TRANSQUELETICA QUADRIL COSTO ESTERNAL,30601207,S
1242,CORRECAO SINDROME COSTO-CLAVICULAR BILATERAL,30601207,S
636,CORRECAO SINDROME COSTO-CLAVICU UNILARAL,30601207,S
1761,TRATAMENTO CIRUR INSTABIL GRADIL COSTAL,30601215,S
2219,QUEIMADURA - ATEND ISOLADO 5 UT,20103611,S
2218,QUEIMADURA - ATEND ISOLADO 4 UT,20103611,S
2217,QUEIMADURA - ATEND ISOLADO 3 UT,20103611,S
2216,QUEIMADURA - ATEND ISOLADO 2 UT,20103611,S
3133,MONITORIZACAO NEUROFISIOLOGICA INTRA - OPERATORIA.,20202040,S
2345,"BRONCOSCOPIA RIGIDA DIAGN,COLH MAT, BIO",40201031,S
1361,BRONCOSCOPIA FLEXIVEL C/LAVADO BRONCOALVEOLAR,40201031,S
1866,BRONCOSCOPIA C/ COLETA APARELHADA DE MATERIAL,40201031,S
2310,RETIRADA CORPO ESTRANHO ENDOBRONQUICO,40202585,S
1271,BRONCOSCOPIA FLEXIVEL RETIRADA CORPO ESTRANHO,40202585,S
2083,FISTULA URETRORETAL - CORRECAO CIRURGICA,31104096,S
2328,URETROPLASTIA ANTERIOR,31104193,S
2291,ESOFAGECTOMIA DISTAL COM TORACOTOMIA,31001041,N
886,ESOFAGECTOMIA COM TORACOTOMIA,31001041,S
3211,DISCECTOMIA CERVICAL/LOMBAR/LOMBO-SACRA POR VIA POSTERIOR,40814092,S
3085,VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM 1 NIVEL,40814092,S
3087,VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM 3 NIVEIS,40814092,S
3086,VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM 2 NIVEIS,40814092,S
3179,DISCECTOMIA OU OSTEOPLASTIA PERCUTANEA (VERTEBROPLASTIA E OU,40814092,S
2587,QUIMIOEMBOLIZACAO PARA TRATAMENTO DE TUMOR HEPATICO,40813916,S
2586,QUIMIOTERAPIA POR CATETER DE TUMOR DE CABECA E PESCOCO,40813908,S
2588,QUIMIOTERAPIA POR CATETER INTRA ARTERIAL,40813924,S
2593,TROMBECTOMIA MECANICA PARA TRATAMENTO DE TEP,40813983,S
2595,TROMBECTOMIA MEDICAMENTOSA PARA TRATAMENTO DE TEP,40814017,S
2594,TROMBOLISE MEDICAMENTOS ARTERIAL OU VENOSA POR VASO,40814025,S
2596,TROMBOLISE MEDICAMENTOSA ARTERIAL OU VENOSA PARA TRATAMENTO DE ISQUEMIA MESENTERICA,40814033,S
2597,TROMBOLISE MEDICAMENTOSA EM TRONCOS SUPRA AORTICOS E INTRACANIANOS,40814041,S
1334,FISTULA PERI-LINFATICA FECH CIRURGICO,30403057,S
1335,GLOMUS DE JUGULAR-RESSECCAO,30403065,S
1336,GLOMUS TIMPANICUS-RESSECCAO,30403073,S
1337,MASTOIDECTOMIA RADICAL,30403081,S
1338,OUVIDO CONGENITO-TRATAMENTO CIRURGICO,30403090,S
1636,"PARACENTESE TIMPANO, UNIL,EM HOSP C/ANES",30403162,S
299,TIMPANOMASTOIDECTOMIA,30403111,S
298,TIMPANOPLASTIA C/ RECONSTR CADEIA OSSICU,30403120,S
589,TIMPANOPLASTIA I MIRINGOPLASTIA UNILATER,30403138,S
489,TIMPANOTOMIA EXPLORADORA C/S/ ASP UNILTE,30403146,S
2419,TIMPANOPLASTIA PARA TUBO DE VENTILA��O,30403154,S
2003,TIMPANOTOMIA P/ TUBO VENTILACAO UNIL,30403154,S
300,DOENCA MENIERE - TRAT CIRURGICO C/ SHUNT BASILAR,30404010,S
302,ENXERTO PARCIAL INTRATEMPORAL DO NERVO FACIAL - FORAEM,30404029,S
363,ENXERTO TOTAL DO NERVO FACIAL INTRATEMPORAL - GANGLIO,30404037,S
1999,ENXERTO TOTAL INTRATEMPORAL DO NERVO FACIAL,30404045,S
301,EXPLORACAO E DESCOMPRESSAO TOTAL DO NERVO FACIAL,30404053,S
683,IMPLANTE COCLEAR - EXCETO A PROTESE,30404061,S
1943,LABIRINTECTOMIA MEMBRANOSA/ OSSEA S/AUDICAO,30404088,S
1635,NURECTOMIA VESTIBULAR P/ FOSSA MEDIA/POS,30404096,S
680,NEURECTOMIA VESTIBULAR TRANSLABIRINTICA S/AUDICAO,30404100,S
681,RESSECCAO OSSO TEMPORAL,30404126,S
682,TUMOR ACUSTICO RESSECCAO VIA TRANSLABIRI,30404134,S
944,TRANSPLANTE CUTANEO ABDOMINAL/HIPOGASTRI,30701015,S
387,TRANSPLANTE CUTANEOS-ANTEBRACO,30701023,S
2446,EXTIRPACAO DE NEUROMA (NIVEL DO PE),31403310,S
1911,EXTIRPACAO DE NEUROMA,31403310,S
1123,EXTIRPACAO DE NEUROMA (NIVEL DA MAO),31403310,N
3037,RIZOTOMIA PERCUTANEA POR RADIOFREQUENCIA,31403336,S
3036,RIZOTOMIA PERCUTANEA COM BALAO,31403336,S
1662,RIZOTOMIAS PERCUTANEAS P RADIOFREQUENCIA,31403336,S
3038,SIMPATECTOMIA LOMBAR A CEU ABERTO,31403344,S
529,SIMPACTECTOMIA LOMBAR BILATERAL,31403344,S
1647,SIMPATECTOMIA CERVICAL OU TORACICA,31403344,S
1622,SIMPATECTOMIA CERVICAL OU LOMBAR,31403344,S
103,SIMPATECTOMIA LOMBAR BILATERAL,31403344,N
345,SIMPATECTOMIA CERVICO-TORAC/TORAC SUPER,31403344,S
344,SIMPATECTOMIA LOMBAR UNILATERAL,31403344,S
530,SIMPACTECTOMIA PERIARTERIAL,31403344,S
528,SIMPACTECTOMIA LOMBAR UNILATERAL,31403344,S
527,SIMPACTECTOMIA CERVICO-TORACICA,31403344,S
526,SIMPACTECTOMIA TORACICA,31403344,S
3039,SIMPATECTOMIA LOMBAR VIDEOCIRURGICA,31403379,S
3043,TRANSPOSICAO DO NERVO CUBITAL,31403352,S
948,TRANSPOSICAO DE NERVO,31403352,N
1481,SINDROME DO CANAL CARPIANO TRAT CIRURG,31403360,S
1806,TRATAMENTO CIRUR NEUROPATIAS COMPRESIVAS,31403360,S
701,TRANSPOSICAO DE NERVO,31403360,S
2966,DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS,31404014,S
1243,DESCOMPRESSAO NEURO CERVICO-BRAQUIAL,31404014,S
501,DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS,31404014,S
104,DESCOMPRESSAO NEURO CERVICO BRAQUIAL,31404014,S
3028,NEUROTOMIA SUPRESELETIVA PARA MOVIMENTOS ANORMAIS,31404022,S
3027,NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS,31404022,S
696,NEUROTOMIA GLOSSOFARINGEO P/ RADIO-FREQU,31404022,S
1646,NEUROTOMIA SELETIVA DO TRIGEMIO,31404022,S
649,NEUROTOMIA DE GLOSSOFARINGEO,31404022,S
648,NEUROTOMIA RETROGASSERIANA P/ RADIO-FREQ,31404022,S
883,SINDROME DO DESFILADEIRO MTORACICO OU ESCALENOTOMIA - TRAT CIRURGICO,31405037,S
1224,ESCALENOTOMIA - TRAT CIRURGICO DA SIND DO DESFILADEIRO,31405037,N
399,SINDROME DO DESFILADEIRO CERVICO TORACICO,31405037,N
1167,TRANSPLANTE DE CORNEA,31501010,N
47,RETIRADA DE ORGAOS PARA TRANSPLANTE,31502016,S
971,TRANSPLANTE CARDIACO,31502024,S
1707,TRANSPLANTE CARDIO-PULMONAR (DOADOR C/MO,31503012,N
1708,TRANSPLANTE CARDIO-PULMONAR C/ EXTRACOR,31503020,S
1751,TRANSPLANTE PULMONAR BILATERAL (DOADOR),31504019,N
1750,TRANSPLANTE PULMONAR TOT UNILATERAL DOAD,31504019,N
1754,TRANSPLANTE PULMONAR TOT/ LOBAR UNIL S/E,31504027,N
1202,TRANSPLANTE DE PULMAO,31504027,N
78,TRANSPLANTE DE FIGADO,31505015,S
822,NEFRECTOMIA EM DOADOR VIVO,31506038,N
1015,TRANSPLANTE RENAL (RECEPTOR),31506011,N
919,TRANSPLANTE DE PANCREAS,31507018,N
2062,BLOQUEIO ENDOBRONQUICO ENDOSC PRE/OPERAT,31602037,S
2801,ANESTESIA PARA EXAME DE ENDOSCOPIA DIAGN�STICA,31602231,S
2427,ANESTESIA PARA EXAME DE RESSONANCIA,31602282,S
2799,ANESTESIA PARA EXAMES DE ULTRASSOM,31602266,S
2800,ANESTESIA PARA EXAMES DE RAIO-X,31602258,S
2426,ANESTESIA PARA EXAMES DE TOMOGRAFIA,31602312,S
2424,BLOQUEIO SIMPATICO POR VIA VENOSA,31602070,S
